@RELATION team_success

@ATTRIBUTE teama {ATL,BOS,CHI,CHR,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,WAS}
@ATTRIBUTE pacea numeric
@ATTRIBUTE wona numeric
@ATTRIBUTE losta numeric
@ATTRIBUTE cumulativescorea numeric
@ATTRIBUTE teamb {ATL,BOS,CHI,CHR,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,WAS}
@ATTRIBUTE paceb numeric
@ATTRIBUTE wonb numeric
@ATTRIBUTE lostb numeric
@ATTRIBUTE cumulativescoreb numeric
@ATTRIBUTE winner {0,1}

@DATA
LAC,91.881775,37,45,62651,HOU,91.30323,51,31,62345,0
LAC,91.881775,37,45,62651,IND,90.938339,44,38,61325,1
LAC,91.881775,37,45,62651,LAL,94.820389,34,48,65930,0
LAC,91.881775,37,45,62651,MEM,90.929123,45,37,61646,1
LAC,91.881775,37,45,62651,MIA,92.870872,59,23,63796,0
LAC,91.881775,37,45,62651,MIL,93.594177,30,52,63521,0
LAC,91.881775,37,45,62651,MIN,92.771713,44,38,62964,0
LAC,91.881775,37,45,62651,NJN,91.83976,42,40,61457,1
LAC,91.881775,37,45,62651,NOH,90.471931,18,64,61735,1
LAC,91.881775,37,45,62651,NYK,94.384277,33,49,63762,0
LAC,91.881775,37,45,62651,ORL,97.333916,36,46,65411,0
LAC,91.881775,37,45,62651,PHI,97.40168,43,39,66306,0
LAC,91.881775,37,45,62651,PHO,98.47644,62,20,69615,0
LAC,91.881775,37,45,62651,POR,92.568474,27,55,63280,1
LAC,91.881775,37,45,62651,SAC,96.841805,50,32,66721,0
LAC,91.881775,37,45,62651,SAS,91.455696,59,23,61433,0
LAC,91.881775,37,45,62651,SEA,91.244949,52,30,62773,0
