@relation players
@attribute ilkid string
@attribute gp integer
@attribute minutes integer
@attribute pts integer
@attribute oreb integer
@attribute dreb integer
@attribute reb integer
@attribute asts integer
@attribute stl integer
@attribute blk integer
@attribute turnover integer
@attribute pf integer
@attribute fga integer
@attribute fgm integer
@attribute fta integer
@attribute ftm integer
@attribute tpa integer
@attribute tpm integer
@attribute class {0,1}
@attribute Outlier {yes,no}
@attribute ExtremeValue {yes,no}
@data
'EHLOCR01',873,21071,7492,996,2143,3139,2456,989,232,1225,1695,6579,2977,1330,917,1684,621,0,yes,yes
'ELLIOSE01',742,24502,10544,819,2385,3204,1897,576,284,1328,1626,8290,3852,2816,2251,1572,589,1,yes,yes
'ELLISDA01',1209,34778,19002,1533,2668,4201,1746,974,183,1771,2480,15275,7322,3365,2639,4269,1719,1,yes,yes
'ELLISLA01',624,17615,7410,1258,2774,4032,981,433,477,1001,1934,6409,2895,1888,1379,797,241,0,yes,yes
'ELLISLE01',1048,27520,10176,534,1060,8709,1405,146,151,0,2661,9378,4143,2595,1890,0,0,0,yes,no
'ELMORLE01',505,8384,2327,713,1433,2146,459,379,405,522,1258,2252,929,656,469,1,0,0,yes,no
'EMBRYWA01',831,21763,10380,0,0,7544,1194,0,0,0,2838,9067,3993,3741,2394,0,0,1,yes,no
'ENGLIAL01',1193,38063,25613,2778,3760,6538,4351,1067,833,2821,3027,21036,10659,5141,4277,83,18,1,yes,yes
'ERVINJU01',836,28677,18364,2067,3534,5601,3224,1508,1293,2323,2286,14276,7237,4950,3844,176,46,1,yes,yes
'EVANSBR01',102,1097,375,56,108,164,77,35,18,42,115,378,144,61,50,108,37,0,yes,no
'EWINGPA01',1183,40597,24815,2720,8886,11606,2215,1136,2894,3535,4034,19241,9702,7289,5392,125,19,1,yes,yes
'FERREDU01',583,8727,3704,552,580,1132,509,302,105,509,902,2961,1420,1096,822,146,42,0,yes,no
'FINLEMI01',735,28886,13974,937,2802,3739,2750,851,267,1383,1431,12103,5440,2662,2149,2557,945,1,yes,yes
'FLEMIVE01',893,24721,10125,979,2036,3015,4293,926,105,1795,2003,7954,3964,2826,2159,210,38,0,yes,no
'FLOYDSL01',957,26383,12260,626,1868,2494,5175,1120,215,2251,1972,10015,4448,3493,2846,1599,518,0,yes,yes
'FORDCH01',794,22043,7314,820,1308,2394,2719,1152,192,726,1817,6874,3160,1188,868,336,126,0,yes,yes
'FORDPH01',482,13503,5594,161,693,854,3083,589,29,1326,1269,4560,2128,1602,1313,119,25,0,yes,no
'FOSTERO01',207,3446,1562,75,183,258,479,137,10,286,441,1434,631,297,228,242,72,0,yes,yes
'FOUSTLA01',817,21890,11198,0,0,8041,1368,0,0,0,2909,9414,3814,4816,3570,0,0,1,yes,no
'FOXRI01',930,23722,8966,929,2588,3517,2649,967,355,1611,2739,7519,3382,1858,1431,2210,771,0,yes,yes
'FRAHMRI01',97,968,347,29,88,117,54,31,8,21,85,279,119,51,44,172,65,0,yes,yes
'FRANCST01',452,17803,8889,771,1974,2745,2928,722,189,1702,1458,7102,3051,2861,2283,1473,504,1,yes,yes
'FRAZIWA01',825,30965,15581,403,1523,4830,5040,681,59,139,2180,12516,6130,4226,3321,1,0,1,yes,yes
'FREEWO01',886,26893,17955,1008,1422,2430,3319,910,223,1869,2270,14294,6512,6264,4718,632,213,1,yes,yes
'GALEMI01',453,11189,3372,238,884,1122,1965,840,163,647,1010,3006,1425,628,518,25,4,0,yes,no
'GALLAHA01',682,15813,8843,0,0,6684,1208,0,0,0,2086,7057,2810,4167,3223,0,0,1,yes,no
'GARLAWI01',511,13388,4799,413,1020,1433,2421,674,80,975,1251,4444,1912,1087,902,260,73,0,yes,yes
'GARNEKE01',775,29583,15681,2007,6594,8601,3525,1089,1343,2002,1965,12882,6311,3794,2915,481,144,1,yes,yes
'GARREDE01',359,6970,1737,584,1226,1810,204,168,372,203,687,1504,722,433,293,0,0,0,yes,no
'GATLICH01',700,13761,7232,1201,2540,3741,461,464,375,1069,1870,5469,2804,2386,1574,201,50,1,yes,no
'GATTIKE01',494,9930,3923,744,1583,2327,444,290,327,602,1419,2956,1536,1309,850,12,1,0,yes,no
'GEIGEMA01',552,12221,5059,1152,2006,3158,391,307,347,744,1629,4082,2039,1325,965,69,16,0,yes,no
'GERVIGE01',791,26536,20708,1186,2421,3607,2214,941,670,2137,2331,15747,8045,5383,4541,259,77,1,yes,yes
'GIANEJO01',541,13650,4210,967,2071,3188,832,225,476,275,1270,3823,1798,875,614,0,0,0,yes,no
'GILLED01',126,1713,474,20,146,166,172,83,10,116,168,411,151,145,123,156,49,0,yes,no
'GILLIAR01',929,26421,12700,2117,4285,6402,1086,676,608,1723,2010,9897,4838,3896,3024,17,0,0,yes,yes
'GILLKE01',966,29482,12914,1250,2752,4002,2945,1519,432,1734,2514,11672,5068,3267,2463,1051,315,0,yes,yes
'GILMOAR01',909,29685,15579,2639,6522,9161,1777,470,1747,2347,2986,9570,5732,5768,4114,13,1,1,yes,yes
'GMINSMI01',938,24058,10953,2082,4398,6480,1203,507,989,1368,1574,9047,4208,3002,2531,49,6,0,yes,yes
'GOLATO01',698,22529,7871,0,0,5617,2962,0,0,0,2688,6883,2964,2556,1943,0,0,1,yes,no
'GOODRGA01',1031,33527,19181,453,651,3279,4805,545,72,390,2775,16300,7431,5354,4319,0,0,1,yes,no
'GRAHAGR01',207,2530,938,59,160,219,201,128,12,179,213,813,331,293,227,169,49,0,yes,no
'GRANTBR01',735,21167,7872,1682,3883,5565,916,450,558,1228,2364,6267,3076,2298,1714,28,6,0,yes,yes
'GRANTGA01',552,12602,4368,347,936,1283,3013,821,69,1268,1200,4140,1864,702,545,342,95,0,yes,yes
'GRANTGR01',274,3350,767,64,184,248,751,161,8,231,282,820,314,138,98,146,41,0,yes,no
'GRANTHA01',783,20510,7781,1170,2265,3435,1219,599,427,714,1768,7138,3345,1448,1026,243,65,0,yes,yes
'GRANTHO01',1165,38623,12996,3362,6081,9443,2575,1143,1136,1303,2832,10695,5439,3053,2114,63,4,1,yes,yes
'GRAYEJE01',438,8277,3257,574,720,1294,635,271,65,484,732,2925,1336,829,550,137,35,0,yes,no
'GREENAC01',1278,36555,12331,3354,6119,9473,1400,1033,545,1434,2436,9202,4544,4250,3119,489,124,1,yes,yes
'GREENDA01',823,23370,8428,1921,4616,6537,1614,583,739,1474,2605,6812,3251,2514,1922,29,4,0,yes,yes
'GREENJO01',1057,24624,12281,0,0,9083,1449,0,0,0,2856,10091,4973,4226,2335,0,0,1,yes,no
'GREENMI01',245,5410,2062,487,842,1329,340,125,372,230,679,1808,832,563,398,2,0,1,yes,no
