@relation players
@attribute ilkid string
@attribute gp integer
@attribute minutes integer
@attribute pts integer
@attribute oreb integer
@attribute dreb integer
@attribute reb integer
@attribute asts integer
@attribute stl integer
@attribute blk integer
@attribute turnover integer
@attribute pf integer
@attribute fga integer
@attribute fgm integer
@attribute fta integer
@attribute ftm integer
@attribute tpa integer
@attribute tpm integer
@attribute class integer
@data
'BISHOGA01',56,0,467,0,0,0,92,0,0,0,137,523,170,195,127,0,0,0
'BLABUW01',235,1966,505,128,285,413,102,19,85,141,344,427,185,222,135,0,0,0
'BLACKAL01',27,109,34,10,13,23,7,4,2,5,14,42,14,8,6,3,0,0
'BLACKCH01',136,117,1245,0,0,31,312,0,0,0,551,1535,435,624,375,0,0,0
'BLACKCO01',60,551,202,42,54,96,26,25,3,44,55,237,87,55,28,2,0,0
'BLACKJA01',13,80,18,2,9,11,11,4,0,5,8,13,8,3,2,0,0,0
'BLACKNA01',10,112,37,2,4,6,18,3,0,8,16,41,15,6,5,11,2,0
'BLACKNO01',3,28,8,0,2,2,2,1,0,1,2,10,3,8,2,0,0,0
'BLACKRO01',980,32087,17623,1047,2231,3278,2981,715,274,1829,1634,13969,6887,4309,3620,667,229,1
'BLACKTO01',71,873,299,0,0,259,44,0,0,0,136,301,121,88,57,0,0,0
'BLAKEST01',119,2039,635,36,152,188,278,70,7,167,147,593,218,108,88,295,111,0
'BLANEGE01',36,363,117,0,0,36,45,0,0,0,34,142,54,17,9,0,0,0
'BLANKLA01',142,1045,289,31,79,110,117,39,8,63,122,266,116,57,38,75,19,0
'BLANTRI01',2,13,6,2,1,3,1,2,0,1,1,7,3,0,0,0,0,0
'BLAYLMO01',889,31026,11962,1016,2643,3659,5972,2073,300,2067,1687,11499,4705,1724,1269,3816,1283,1
'BLEVILE01',3,0,2,0,0,2,1,0,0,0,3,4,1,1,0,0,0,0
'BLOCKJO01',597,14316,7106,198,425,3965,805,111,67,0,1733,5987,2592,2470,1922,0,0,1
'BLOOMMI01',93,0,634,0,0,0,70,0,0,0,169,821,209,303,216,0,0,0
'BLOUNCO01',644,9925,2287,975,1715,2690,460,328,264,519,1375,2038,959,624,366,26,3,0
'BLOUNMA01',353,7447,2357,569,1041,1610,302,210,333,496,911,1845,952,627,453,1,0,0
'BLUMERA01',49,546,226,14,27,41,68,23,2,54,57,222,102,28,18,18,4,0
'BOBBITO01',2,12,5,0,3,3,0,0,0,0,1,5,2,0,0,2,1,0
'BOBBNE01',227,2468,1052,0,0,405,488,0,0,0,523,1030,361,539,330,0,0,0
'BOCKHAR01',474,14791,5430,0,0,2234,1645,0,0,0,1565,5574,2245,1256,940,0,0,0
'BOERWTO01',635,14387,4596,536,1220,5745,2007,110,138,26,1811,4109,1863,1288,870,0,0,0
'BOGANKE01',147,3578,1212,182,361,543,233,114,18,197,296,1142,445,286,198,360,124,0
